No.,자음그룹,한자,대표훈음,원획수,뜻풀이(원문),자원오행,원본페이지,비고
20,가,痂,상처 위에 생긴 딱지 가,10,상처 위에 생긴 딱지(가피). 피부에 생긴 마른 딱지나 궤양의 표면(의학적 용어로의 사용),水,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
21,가,袈,가사 가,11,"가사, 승려의 옷",木,12,
22,가,茄,연줄기 가,11,"연 줄기, 연, 가지, 나라이름",木,12,
23,가,笳,갈잎피리 가,11,갈잎 피리,木,12,
24,가,苛,매울 가,11,"맵다, 꾸짖다, 독하다, 까다롭다",木,12,
25,가,舸,큰배 가,11,"배, 큰 배",木,12,
26,가,耞,도리깨 가,11,도리깨,木,12,
27,가,假,빌릴 가,11,"거짓, 빌리다, 빌려주다",火,12,
28,가,街,거리 가,12,"거리, 큰 길, 길",火,13,
29,가,軻,굴대 가,12,"굴대, 높다, 맹자의 이름",火,13,
30,가,斝,술잔 가,12,"술잔, 빌다",火,13,
31,가,迦,부처이름 가,12,"부처이름, 막다",土,13,
32,가,跏,책상다리 가,12,"책상다리, 도사리고 앉다",土,13,
33,가,訶,꾸짖을 가,12,"책망하다, 꾸짖다, 야단치다",金,13,
34,가,婽,고울 가,12,고울. 고울 가,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
35,가,渮,강 이름 가,12,늪이름. 강 이름 가,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
36,"가,하",徦,이를 가,12,이를. 이를 가. 멀 하,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
37,가,暇,겨를 가,13,"겨를, 여유, 여가, 틈, 한가하다",火,13,
38,가,嫁,시집갈 가,13,"시집가다, 시집 보내다, 가다",土,13,
39,가,賈,값 가,13,"姓, 값, 사다, 팔다, 나라이름",金,13,
40,가,賈,장사 고,13,"장사, 상인, 상품, 사다, 팔다. 값, 값어치, 가격, 명성, 평판",金,37,
41,가,椵,나무 이름 가,13,유자. 나무 이름 가,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
42,가,榎,오동나무 가,14,오동나무,木,13,뜻풀이 육필 수정
43,가,歌,노래할 가,14,"노래하다, 노래소리",金,13,
44,가,嘏,클 가,14,"클 하, 크다, 장대하다, 복받다",水,13,
45,가,嘉,아름다울 가,14,"아름답다, 착하다, 경사스럽다. 기뻐하다, 즐기다",水,13,
46,가,稼,심을 가,15,"심다, 농사, 익은 벼이삭",木,13,
47,가,葭,갈대 가,15,"갈대, 연잎, 갈잎피리",木,13,
48,가,價,값 가,15,"값, 가격, 많다, 역할",火,13,
49,가,駕,멍에 가,15,"멍에, 임금이 탄 수레, 능가하다. 보내다",火,13,
50,가,檟,오동나무 가,17,"오동나무, 매, 회초리, 茶의 일종",木,13,
51,가,謌,노래 가,17,"노래, 노래하다, 읊다",金,13,
52,각,各,서로 각,6,"각각, 서로, 따로",水,14,
53,각,角,견줄 각,7,"뿔, 모, 귀, 구석, 견주다, 총각",木,14,
54,각,却,물리칠 각,7,"물리치다, 물러나다, 뒤집다, 도리어, 되돌아가다",木,14,
55,각,刻,새길 각,8,"새기다, 깎다, 해하다, 모질다",金,14,
56,각,卻,물리칠 각,9,"물리치다, 물러나다, 그치다",木,14,
57,각,咯,토할 각,9,"토하다, 트림, 꿩 울음 소리",水,14,
58,각,恪,삼가할 각,10,"삼가다, 공경하다, 근신하다",火,14,
59,각,埆,험할 각,10,"험하다, 메마르다, 모자라다, 다투다",土,14,
60,각,珏,쌍옥 각,10,"쌍 옥, 사람이름",金,14,
61,"각,혹,학",隺,고상할 각,10,뜻고상할. 고상할 각. 오를 혹. 두루미 학,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
62,각,桷,서까래 각,11,"서까래, 가지",木,14,
63,각,殼,껍질 각,12,"껍질, 씨앗",木,14,뜻풀이 육필 수정
64,각,搉,칠 각,13,"치다, 끌어 쓰다, 독차지하다, 생각, 대략",木,14,
65,각,脚,다리 각,13,"밟다, 다리, 몸둘 곳",水,14,
66,각,較,견줄 교,13,"견주다, 비교하다, 환하다, 조금. 차이 각, 견줄 각",火,49,
67,각,閣,누각 각,14,"누각, 대궐, 선반, 복도, 마을",木,14,
68,각,憨,삼가할 각,14,삼가하다,火,14,
69,각,慤,삼가할 각,15,"삼가하다, 바르다, 정성, 순박하다",火,14,
70,각,榷,나무다리 교,15,"외나무다리. 나무다리 각, 세금 각, 토의할 각",木,50,
71,각,愨,성실하고 정직할 각,15,"성실하고 정직하다, 바르고 부끄럼이 없다(성품의 뜻). 근엄하고 신중하다(언행이 삼가는 태도)",火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
72,각,擱,놓을 각,18,"놓다, 멎다",火,14,
73,각,覺,깨달을 각,20,"깨닫다, 나타내다, 높다, 크다, 곧다",火,14,
74,간,干,방패 간,3,"방패, 막다, 범하다, 구하다. 간여하다",木,14,
75,간,刊,새길 간,5,"새기다, 책을 펴내다, 베다, 깎다",金,14,
76,간,艮,견고할 간,6,"견고하다, 어긋나다, 머무르다. 괘이름",土,15,
77,간,奸,침범할 간,6,"침범하다, 간음하다, 간악, 간사하다",土,15,
78,간,杆,방패 간,7,"박달나무, 방패, 기둥, 쓰러진 나무",木,15,
79,간,忓,흔들 간,7,"요란하다, 흔들다",火,15,
80,간,忓,방해할 간,7,"방해하다, 어지럽다.",火,401,옥편 6획
81,간,秆,볏짚 간,8,"벼, 볏짚",木,15,
82,간,侃,강직할 간,8,"강직하다, 굳세다",火,15,
83,간,玕,옥돌 간,8,"아름다운 돌, 옥 돌, 나무이름",金,15,
84,간,矸,산돌 간,8,"희고 깨끗한 돌, 산돌",金,15,
85,간,竿,장대 간,9,"장대, 횃대, 범하다",木,15,
86,간,衎,기뻐할 간,9,"기뻐하다, 즐기다",火,15,
87,간,柬,가릴 간,9,"가리다, 분간하다, 편지",木,15,
88,간,看,볼 간,9,"보다, 분별하다, 지키다, 대접",木,15,
89,간,姦,간사할 간,9,"간사하다, 간음하다, 속이다, 훔치다",土,15,
90,간,肝,요긴할 간,9,"간, 마음, 충정, 요긴하다",水,15,
91,간,栞,표지 간,10,"표지, 도표, 나무를 베다",木,15,
92,간,迀,구할 간,10,"구하다, 앞으로 보내다, 가로막다",土,15,자형 확인요망(저해상도)
93,간,赶,달릴 간,10,"달리다, 쫓다",火,15,
94,간,桿,나무이름 간,11,"나무이름, 짚, 볏짚",木,15,
95,간,偘,강직할 간,11,"강직하다, 굳세고, 바르다, 화락하다",火,15,
96,간,涆,물 빨리 흐를 간,11,물빨리흐를. 물 빨리 흐를 간,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
97,간,間,사이 간,12,"사이, 틈, 들어가다, 엿보다, 줄이다",木,15,
98,간,稈,볏짚 간,12,"짚, 볏짚, 보리짚",木,16,
99,간,莨,덩굴옷나무 간,12,"덩굴옻나무, 초오, 미나리아재비",木,16,
100,간,揀,가릴 간,13,"가리다, 가려뽑다, 분별하다. 구별하다",木,16,
101,간,幹,근본 간,13,"줄기, 근본, 천간, 재능, 등뼈, 말리다",木,16,
102,간,榦,근본 간,14,"기둥, 재능, 근본, 옆구리",木,16,
103,간,茛,마나리아재비 간,14,마나리아재비 간. 미나리아재비 간,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
104,간,墾,밭갈 간,16,"밭 갈다, 개간하다, 다스리다. 힘쓰다",土,16,
105,간,諫,간할 간,16,"간하다, 충고하다, 벼슬이름",金,16,
106,간,澗,산골물 간,16,"산골 물, 큰 물, 강 이름",水,16,
107,간,慳,아낄 간,16,"아끼다, 절약하다(낭비하지 않음). 인색하다, 쩨쩨함을 나타냄(지나치게 쓰기를 꺼려함)",火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
108,간,懇,정성 간,17,"정성, 간절하다",火,16,
109,간,艱,어려울 간,17,"어렵다, 괴롭다, 힘들다",土,16,
110,간,磵,산골물 간,17,"산골 물, 큰 물, 강 이름. 澗과 동자",金,16,
111,간,癎,경풍 간,17,"경풍, 간질. 癇과 동자",水,16,
112,간,癇,간질 간,17,"간질(신경학적 발작 질환). 발작적 경련, 갑작스러운 경련 증상(광범위한 발작 상태를 이르는 말)",水,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
113,간,簡,가릴 간,18,"글, 편지, 문서, 대쪽, 가리다. 검열하다",木,16,
114,간,齦,웃을 간,21,"물다, 뜯다, 잇몸",金,16,
115,갈,乫,땅이름 갈,6,"땅 이름, 음역자",木,16,
116,"갈,준",夋,천천히 걷는 모양 준,7,갈. 천천히 걷는 모양 준,金,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 1차 음의 뜻풀이 누락으로 타 음(준)의 훈으로 대표훈음 대체"
117,갈,曷,어찌 갈,9,"어찌, 어느 때, 인제",火,16,
118,갈,秸,볏짚 갈,11,"볏짚, 새 이름",木,16,
119,갈,喝,외칠 갈,12,"외치다, 부르다, 꾸짖다",水,17,페이지 상단 별도 박스 표기
120,갈,渴,목마를 갈,13,"목이 마르다, 갈증, 서두르다",水,16,
121,갈,楬,풋말 갈,13,"풋말, 악기이름, 산 이름, 꿈임없음",木,16,
122,갈,竭,다할 갈,14,"다하다, 물이 마르다, 엉기다",土,17,
123,갈,碣,비석 갈,14,"비석, 우뚝 솟다, 우뚝 솟은 돌",金,17,
124,갈,葛,칡 갈,15,"칡, 갈포, 넝쿨, 나라이름",木,17,
125,갈,褐,털옷 갈,15,"털 옷, 베 옷, 갈 옷, 갈 색",木,17,
126,갈,羯,불깐흑양 갈,15,불 깐 흑양,土,17,
127,갈,蝎,전갈 갈,15,"전갈, 수궁, 나무 굼벵이",木,17,
128,갈,嶱,산 험할 갈,15,돌우뚝할. 산 험할 갈,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
129,갈,㗿(미상),꾸짖을 갈,16,"꾸짖다, 큰 소리, 고함치다",水,16,"자형 미상(저해상도, 획수만 육필수정 16 확인)"
130,갈,噶,맹세할 갈,16,"맹세하다, 굳게 약속하다(엄숙히 언약함). 단호히 말하다, 강하게 주장하다(엄중한 어조로 말함)",水,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
131,갈,鞨,가죽신 갈,18,"가죽신, 말갈, 북방민족, 오랑캐",金,17,
132,갈,蠍,전갈 갈,19,,木,17,뜻풀이 육필 수정 있음(판독 불가)
133,감,甘,달 감,5,"달다, 달콤하다, 맛나다, 즐기다",土,17,
134,감,坎,구덩이 감,7,"구덩이, 험하다, 빠지다, 어렵다. 악기",土,17,
135,감,坩,도가니 감,8,"도가니, 쇠붙이를 녹이는 그릇",土,17,
136,감,柑,감자나무 감,9,"감자나무, 입을 다물다, 재갈 먹이다",木,17,
137,감,弇,깊을 감,9,"깊다, 덮다",木,17,
138,감,玲,옥이름 감,9,"옥 이름, 아름다운 옥",金,17,
139,감,泔,뜨물 감,9,"뜨물, 가득 차다, 담다, 강 이름",水,17,
140,감,疳,감질 감,10,"소화불량, 감질 병, 창 병",水,17,
141,감,紺,감색 감,11,"감색, 검푸른 색, 야청 빛",木,17,
142,감,勘,조사할 감,11,"헤아리다, 조사하다, 신문하다. 따지다",土,17,
143,감,塪,구덩이 감,11,"구덩이, 빠지다",土,17,
144,"감,함",埳,구덩이 감,11,구덩이 감. 빠질 함,土,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
145,감,欿,서운할 감,12,"서운하다, 시름겹다",火,17,
146,감,邯,풍성할 감,12,"땅 이름, 성 이름, 풍성하다",土,18,
147,감,堪,견딜 감,12,"견디다, 뛰어나다, 감당하다, 맡다",土,18,
148,감,嵌,산깊을 감,12,"골짜기, 산이 깊다, 험하다",土,18,
149,감,嵁,험준할 감,12,험준하다,土,18,
150,감,敢,감히 감,12,"감히, 용맹스럽다, 굳세다, 함부로",金,18,
151,감,酣,즐길 감,12,"즐기다, 한창",金,18,
152,감,淦,고인물 감,12,"배에 괸 물, 진흙, 강 이름",水,18,
153,감,感,느낄 감,13,"느끼다, 감동하다, 감응하다, 깨닫다",火,18,
154,감,戡,평정할 감,13,"평정하다, 치다",金,18,
155,감,減,덜 감,13,"덜다, 줄다, 가볍게 하다, 적게 하다",水,18,
156,감,監,살필 감,14,"보다, 살피다, 본보기, 거울삼다. 감옥",金,18,
157,"감,짐",瑊,옥돌 감,14,옥돌. 옥돌 감. 옥돌 짐,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
158,감,橄,감람나무 감,16,"감람나무, 상록교목",木,18,
159,감,憨,어리석을 감,16,"어리석다, 해치다",火,18,
160,감,澉,씻을 감,16,"씻다, 맛이 없다",水,18,
161,감,撼,흔들 감,17,흔들다,木,18,
162,감,瞰,굽어볼 감,17,"굽어보다, 내려다 보다",木,18,
163,감,憾,섭섭할 감,17,"한하다, 섭섭하다",火,18,
164,감,歁,바랄 감,17,"바라다, 바라고 빌다",火,18,
165,"감,함,렴",歛,줄 감,17,줄 감. 줄 함. 거둘 렴(염),火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
166,감,轗,가기힘들 감,20,"가기 힘들다, 어렵다",火,18,
167,감,鹹,소금기 감,21,"소금기, 덩어리 소금",水,18,
168,감,鹻,소금기 감,21,"소금기, 짠맛이 있음(염분이 많음). 염분이 많은 것과 관련된 상태나 장소(염전 등)",水,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
169,감,龕,감실 감,22,"감실, 절탑, 불단",土,19,
170,감,鑑,거울 감,22,"거울, 보다, 본보기, 생각하다",金,19,
171,감,鑒,거울 감,22,"비치다, 밝다, 살피다, 경계하다",金,19,
172,감,矚,엿볼 감,25,엿보다,木,19,
173,감,矙,엿볼 감,25,"엿보다, 몰래 훔쳐보다(슬쩍 살피다). 세심히 관찰, 살피다(자세히 들여다봄)",木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
174,"감,공",灨,강 이름 감,28,물이름. 강 이름 감. 강 이름 공,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
175,갑,甲,천간 갑,5,"첫 째, 시작하다, 갑옷, 우두머리. 김질",木,19,
176,갑,匣,갑 갑,7,"상자, 갑, 단위",木,19,
177,갑,岬,곳 갑,8,"바다로 뾰족하게 내민 땅, 산 허리",土,19,
178,갑,胛,어깻죽지 갑,11,"어깨 뼈, 견갑골, 어깻죽지",水,19,
179,갑,鉀,갑옷 갑,13,갑옷,金,19,페이지 상단 별도 박스 표기
180,갑,閘,수문 갑,13,"수문, 문을 여닫다, 빗장",木,19,
181,강,杠,깃대 강,7,"깃대, 다리, 들다, 수레덮개",木,19,
182,강,扛,들 강,7,"들다, 메다, 들어 올리다",木,19,
183,강,江,강 강,7,"강물, 물 이름, 큰 내",水,19,
184,강,忼,강개 강,8,"강개할 강, 비분강개하다",火,19,
185,강,羌,굳셀 강,8,"굳세다, 강하다, 종족이름, 오랑캐",土,19,
186,강,岡,산등성이 강,8,"언덕, 산등성이, 구릉, 산 봉우리",土,19,
187,강,玒,옥이름 강,8,"옥 이름, 공옥",金,19,
188,강,矼,징검다리 강,8,"돌다리, 징검다리, 성실하다",金,19,
189,강,舡,배 강,9,"배, 선박",木,19,
190,강,姜,성씨 강,9,"종족이름, 오랑캐, 티베트 족, 탄식",土,19,
191,강,㽘,지경 강,9,강. 지경 강. 소금밭 강,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
192,강,豇,광저기 강,10,"동부 콩, 紅豆",木,19,
193,강,剛,굳셀 강,10,"굳세다, 억세다, 바야흐로",金,20,
194,"강,홍",䜫,골짜기 이름 강,10,강. 홍. 깊은 골짜기 홍. 골짜기 이름 강,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
195,강,康,편안할 강,11,"편안하다, 화목하다, 즐겁다, 넓다",木,20,
196,강,罡,별이름 강,11,"북두칠성의 딴 이름, 별 이름",木,20,
197,강,堈,항아리 강,11,"언덕, 항아리, 독",土,20,
198,강,崗,언덕 강,11,"산등성이, 언덕. 岡의 속자",土,20,
199,강,強,굳셀 강,11,"강하다, 굳세다, 힘세다. 强의 속자",金,20,
200,강,缸,살촉 공,11,"살촉, 등잔 강, 등불 강",金,41,
201,강,絳,진홍색 강,12,"진홍색, 합치다, 땅이름",木,20,
202,강,茳,천궁 강,12,"천궁, 향초 이름, 천궁 모종",木,20,
203,강,傋,어리석을 강,12,"어리석다, 아첨하지 않다",火,20,
204,강,強,굳셀 강,12,"굳세다, 강하다, 힘쓰다, 포대기. 단단하다, 강요하다, 強과 동자","金,木",20,
205,강,控,당길 공,12,"당기다, 고하다, 아뢰다, 던지다. 칠 강, 두드릴 강",木,42,
206,강,强,힘이 셀 강,12,"힘이 세다, 강하다(강인함). 억지로 시키거나 밀어붙이다(강요하다) — 強의 이체자",木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
207,강,棡,가로대 강,12,강나무. 가로대 강,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
208,강,焵,칼날 강,12,칼날벼슬. 칼날 강,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
209,강,疆,지경 강,13,"경계, 끝, 나라, 국토, 벼슬이름. 한계, 굳세다, 강성하다",土,20,
210,강,跭,우뚝설 강,13,"우뚝 서다, 세우다, 우뚝 솟다. 세울 항",土,20,
211,강,畺,경계나 지경 강,13,경계나 지경(영역의 구분). 국경선이나 경작지의 경계선,土,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
212,강,綱,다스릴 강,14,"벼리, 매다, 다스리다, 대강. 사물의근본",木,20,
213,강,嫝,편안할 강,14,"편안하다, 편안히 하다",土,20,
214,강,降,내릴 강,14,"내리다, 다다르다, 임하다, 물러나다",土,20,
215,강,腔,빈속 강,14,"빈 속, 가락, 곡조",水,20,
216,강,慷,강개할 강,15,"강개하다, 개탄하다",火,20,
217,강,僵,넘어질 강,15,"넘어지다, 쓰러지다, 뻣뻣해지다",火,20,
218,강,漮,빌 강,15,물빌. 빌 강,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
219,강,穅,쌀겨 강,16,"굳세다, 억세다, 바야흐로",木,21,
220,강,壃,지경 강,16,"경계, 끝, 나라, 국토, 벼슬이름. 한계,굳세다, 강성하다",土,21,
221,강,彊,굳셀 강,16,"굳세다, 힘이 센 활. 서로 따르는 모양","金,木",21,
222,강,鋼,강철 강,16,"강철, 강하다, 굳세다",金,21,
223,강,繈,포대기 강,17,"포대기, 업다, 띠, 돈 꾸러미",木,21,
224,강,糠,겨 강,17,"겨, 매우 작은 것",木,21,
225,강,橿,나무이름 강,17,"나무이름, 감람나무, 굳센 모양. 성하다",木,21,
226,강,講,이야기할 강,17,"풀이하다, 이야기하다, 익히다. 강의, 꾀하다",金,21,
227,강,殭,굳어질 강,17,"굳어지다, 누에가 말라죽다. 죽어 썩지 않다",水,21,
228,강,襁,포대기 강,18,"포대기, 띠, 업다, 대 바구니",木,21,
229,강,鏳(미상),굳셀 강,18,"굳세다, 강하다, 힘쓰다, 단단하다. 강요하다, 鋼과 동자",金,21,"자형 확인요망(金+皿+正 조합, 저해상도)"
230,강,鎠,굳셀 강,18,굳셀 강. 강철 강,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
231,강,薑,생강 강,19,생강,木,21,
232,강,疅,지경 강,19,"경계, 지경, 끝, 두둑. 경계를 정하다",土,21,
233,강,顜,밝을 강,19,밝다(빛나고 환함). 빛나거나 환한 상태를 이르는 고문적 표현,火,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
234,강,鏹,돈꾸러미 강,20,"돈 꾸러미, 금",金,21,
235,강,韁,굴레 강,22,"고삐, 굴레",金,21,
236,강,鱇,천징어 강,22,"아귀, 볼락, 천징어",水,21,
237,개,介,도울 개,4,"끼리하다, 끼다, 돕다, 묶다, 갑옷",火,21,
238,"개,갈",匃,빌 개,5,빌 개. 빌 갈,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
239,개,匄,빌릴 개,6,"빌리다, 구하다, 베풀다",金,21,
240,개,改,고칠 개,7,"고치다, 바로 잡다, 고쳐지다",金,21,
241,개,忋,믿을 개,7,믿을. 믿을 개,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
242,개,皆,모두 개,9,"함께, 모두, 두루 미치다",金,22,
243,개,玠,홀 개,9,"큰 홀, 큰 서옥, 싱서로운 보석",火,22,
244,개,疥,옴 개,9,"옴, 학질, 더럽히다",水,22,
245,개,芥,먼지 개,10,"겨자, 먼지, 티끌",木,22,
246,개,個,낱 개,10,"낱, 개, 하나하나, 한 쪽, 치우치다",火,22,
247,"개,계",恝,여유없을 괄,10,"여유없음, 소홀하다, 푸대접. 근심없을 개, 산이름 계",火,45,
248,"개,해",衸,옷 폭 개,10,개. 해. 옷 폭 개. 잠방이 해,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
249,개,盖,덮을 개,11,"덮다, 맞추다, 숭상하다. 蓋의 俗字",土,22,
250,개,勓,힘쓸 개,11,힘쓸. 힘쓸 개,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
251,개,開,열 개,12,"열다, 열리다, 벌리다, 펴다. 깨우치다",木,22,
252,개,凱,즐길 개,12,"이기다, 즐거 하다, 함성. 싸움이 이기고 돌아오다",木,22,
253,개,剴,알맞을 개,12,"알맞다, 가르치다, 베다",金,22,
254,개,揩,문지를 개,13,"문지르다, 악기 이름, 세게 찌르다",木,22,
255,개,塏,높은땅 개,13,"높은 땅, 높고 건조한 땅",土,22,
256,"개,희",摡,씻을 개,13,거둘. 씻을 개. 취할 희,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
257,"개,해",湝,출렁출렁 흐를 개,13,출렁출렁 흐를. 출렁출렁 흐를 개. 차가울 해,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
258,개,箇,낱 개,14,"낱, 이 어 저 어조사. 個의 俗字",木,22,
259,개,愷,즐거울 개,14,"이기다, 즐거움, 승전가, 화락하다",火,22,
260,개,愾,성낼 개,14,"성내다, 차다, 가득하다, 한탄하다",火,22,
261,개,暟,비출 개,14,아름다울. 비출 개,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
262,개,槪,대개 개,15,"대개, 대강, 절개, 평온함, 개탄하다",木,22,
263,개,槩,누를 개,15,"누르다, 평평하게하다, 저울. 평온하다, 절경, 경치",木,22,
264,개,慨,분개할 개,15,"분개하다, 슬퍼하다, 개탄하다",火,22,
265,개,漑,물댈 개,15,"물을 대다, 씻다, 닦다, 강. 물이 질펀하게 흐르다",水,22,
266,개,磕,북소리 개,15,"북소리, 돌 부딪는 소리",水,22,
267,개,䁗,밝을 개,15,개. 밝을 개,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가)"
268,개,蓋,덮을 개,16,"덮다, 숭상하다, 대개, 어찌, 덮개",木,23,
269,개,闓,열 개,18,"열다, 생각하다, 밝다, 즐기다. 시작하다, 문명하다",木,23,
270,개,鎧,갑옷 개,18,"갑옷, 갑옷을 입다, 무장하다",金,23,
271,객,客,손님 객,9,"손님, 나그네, 사람, 지난 세월. 여행. 붙어 살다",木,23,
272,객,喀,토할 객,12,"토하다, 뱉다, 구토하다",水,23,
273,갱,更,다시 갱,7,"다시, 재차, 또, 도리어. 고칠 경",火,23,
274,갱,坑,구덩이 갱,7,"구덩이, 입구, 구덩이에 묻다",土,23,
275,갱,硜,돌소리 갱,12,"돌 소리, 고집스럽다, 천박하다. 돌소리 경",金,23,
276,갱,粳,메벼 갱,13,"메 벼, 찰기가 없는 벼. 메버 경",木,23,
277,"갱,경",硻,굳을 갱,13,굳을. 굳을 갱. 돌 두드리는 소리 경,木,,"2024 보완전사(김기승 성명학 9,491자 기준본 대조 추가); 기준본 음(대표) 필드 오류로 뜻풀이 텍스트에서 재추출함"
278,갱,賡,이을 갱,15,"잇다, 계승하다, 보상하다",金,23,
279,갱,羹,국 갱,19,"국, 국 끓이다, 땅 이름",土,23,
280,갱,鏗,금옥소리 갱,19,"금 옥 소리, 맑고 낭랑한 소리",金,23,
